StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,training_clear,training_unclear,training_gramm,training_pragm,exp1_indef,exp2_bare,filler1_clear,filler2_clear,filler3_uncertain,exp3_bare,exp4_indef,filler5_clear,filler5_uncertain,filler6_uncertain,exp5_bare,exp6_indef,filler7_clear,filler8_clear,filler9_uncertain,exp7_bare,exp8_indef,filler14_clear,filler15_uncertain,filler16_uncertain,exp9_bare,exp10_indef,filler13_clear,filler14_clear,filler15_uncertain,exp11_bare,exp12_indef,filler16_clear,filler17_uncertain,filler18_uncertain,exp13_bare,exp14_indef,filler19_clear,filler20_clear,filler21_uncertain,exp15_bare,exp16_indef,filler22_clear,filler23_clear,filler24_uncertain,exp1_bare,exp2_indef,exp3_indef,"exp4_bare ",exp5_indef,exp6_bare,exp7_indef,"exp8_bare ","exp9_indef ","exp10_bare ",exp11_indef,exp12_bare,exp13_indef,exp14_bare,exp15_indef,"exp16_bare ",language_household,"language_today ",ReactionTime_exp1_bare,ReactionTime_exp1_indef,ReactionTime_exp2_bare,ReactionTime_exp2_indef,ReactionTime_exp3_bare,ReactionTime_exp3_indef,ReactionTime_exp4_bare,ReactionTime_exp4_indef,ReactionTime_exp5_bare,ReactionTime_exp5_indef,ReactionTime_exp6_bare,ReactionTime_exp6_indef,ReactionTime_exp7_bare,ReactionTime_exp7_indef,ReactionTime_exp8_bare,ReactionTime_exp8_indef,ReactionTime_exp9_bare,ReactionTime_exp9_indef,ReactionTime_exp10_bare,ReactionTime_exp10_indef,ReactionTime_exp11_bare,ReactionTime_exp11_indef,ReactionTime_exp12_bare,ReactionTime_exp12_indef,ReactionTime_exp13_bare,ReactionTime_exp13_indef,ReactionTime_exp14_bare,ReactionTime_exp14_indef,ReactionTime_exp15_bare,ReactionTime_exp15_indef,ReactionTime_exp16_bare,ReactionTime_exp16_indef,Create New Field or Choose From Dropdown...
2024-12-16 15:55:02,2024-12-16 16:21:29,IP Address,92.41.182.206,100,1586,True,2024-12-16 16:21:29,R_24zWUoPf4eovWiv,,,,,51.5507,-0.0998,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,14992,,,18294,,21033,18921,,,28725,20701,,,24501,23606,,,22989,19168,,,18897,21450,,,11796,22215,,,15377,28439,,
2024-12-16 16:24:05,2024-12-16 16:39:51,IP Address,70.23.105.217,100,946,True,2024-12-16 16:39:51,R_7gUH2kJX9RuRXXl,,,,,40.7609,-73.9115,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,На другом языке (не на русском),5916,,,24742,,7176,15222,,,9714,11812,,,13130,11388,,,14226,15883,,,18832,18830,,,26221,12597,,,8730,9810,,
2024-12-16 15:31:35,2024-12-16 16:45:06,IP Address,94.11.228.82,100,4411,True,2024-12-16 16:45:07,R_2pEBJP6mlZnZBA6,,,,,57.3481,-1.9362,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,6946,,,13335,,11394,13780,,,9351,7800,,,11615,6715,,,14875,8086,,,20471,10029,,,10748,16156,,,12054,14620,,
2024-12-16 16:33:17,2024-12-16 16:45:07,IP Address,203.37.54.218,100,709,True,2024-12-16 16:45:08,R_4fvCP2h5Y66avrf,,,,,-23.9505,151.3439,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,8658,9687,,7898,,,7502,8124,,,9538,19037,,,8656,34355,,,9832,9489,,,9048,6697,,,22457,10674,,,7043,
2024-12-16 16:21:38,2024-12-16 16:47:33,IP Address,72.231.16.195,100,1554,True,2024-12-16 16:47:33,R_1mtykTLurzuvc4x,,,,,40.5697,-74.1184,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,13824,22631,,43623,,,27240,14129,,,33070,17099,,,19848,16689,,,14753,27545,,,27233,36409,,,20178,21749,,,34792,
2024-12-16 16:27:33,2024-12-16 16:48:48,IP Address,80.189.127.1,100,1275,True,2024-12-16 16:48:49,R_27ytcgAWtWHo0U2,,,,,55.8393,-4.2892,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,9083,,,15847,,9517,13283,,,11860,11252,,,12845,12174,,,13105,11015,,,13685,14403,,,10873,10412,,,7250,12843,,
2024-12-16 16:28:50,2024-12-16 16:49:02,IP Address,176.206.55.170,100,1212,True,2024-12-16 16:49:02,R_20ATUoUFxN2ee2Y,,,,,43.7089,10.4087,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,39032,14129,,20346,,,24175,33757,,,24630,17084,,,11269,20291,,,19087,12563,,,30082,19432,,,13541,9664,,,20593,
2024-12-16 16:37:25,2024-12-16 17:01:52,IP Address,24.114.36.157,100,1466,True,2024-12-16 17:01:52,R_5viHgEqSqeaoj2P,,,,,49.245,-123.1337,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.",Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,15913,19196,,55151,,,35631,21116,,,24781,19113,,,44558,21784,,,9303,32256,,,15561,13995,,,43511,15773,,,41110,
2024-12-16 16:50:45,2024-12-16 17:06:13,IP Address,99.247.142.61,100,928,True,2024-12-16 17:06:14,R_71HDGezbbW8kQyi,,,,,43.8304,-79.504,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил чай.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,8328,,,13202,,26555,11778,,,30657,11737,,,9218,18383,,,14137,16414,,,10820,13149,,,8690,18860,,,6733,7600,,
2024-12-16 16:51:29,2024-12-16 17:10:32,IP Address,58.6.224.254,100,1143,True,2024-12-16 17:10:33,R_4IZ5k5rzB4oI9wB,,,,,-27.4679,153.0325,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,27061,,,34745,,20443,30186,,,31390,28292,,,12972,26664,,,15269,14039,,,24780,18421,,,17929,18512,,,12922,24203,,
2024-12-16 17:28:55,2024-12-16 17:49:58,IP Address,89.128.168.1,100,1262,True,2024-12-16 17:49:59,R_2ir4ZxEcnHnncET,,,,,28.0716,-16.5623,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог со сливами.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,7673,13743,,15426,,,38160,14564,,,12152,15134,,,17097,10433,,,12357,21764,,,21606,11585,,,13979,10452,,,12507,
2024-12-16 17:30:47,2024-12-16 17:52:33,IP Address,97.134.126.33,100,1305,True,2024-12-16 17:52:33,R_7dE2qm3JgUhtzuz,,,,,34.106,-118.3607,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,31989,21105,,23316,,,24896,22531,,,27852,21870,,,33379,15520,,,15000,24685,,,24336,40312,,,22040,25979,,,23318,
